"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"COMMD91",3.99972820611205e-06,1.03844313427021,0.419,0.118,0.0548522726186207,"7","COMMD9"
"RBM17",4.13862277346756e-06,0.833557589586539,0.516,0.155,0.0567570727153341,"7","RBM17"
"MYL63",4.13941288605206e-06,0.546768892026614,1,0.851,0.056767908319318,"7","MYL6"
"MRPS22",4.18602248993555e-06,1.1027819505993,0.29,0.065,0.0574071124269761,"7","MRPS22"
"DNM2",4.19525590649834e-06,1.36201028286976,0.29,0.066,0.0575337395017182,"7","DNM2"
"APPL1",4.25017708223003e-06,1.4431973740655,0.258,0.055,0.0582869285057026,"7","APPL1"
"C1orf1623",4.34796358972968e-06,1.71191250898272,0.774,0.384,0.0596279726695529,"7","C1orf162"
"MRPL9",4.34909912330379e-06,0.546738548372288,0.484,0.136,0.0596435453769882,"7","MRPL9"
"PLEKHF21",4.37075481356234e-06,0.460800889344604,0.355,0.087,0.0599405315131939,"7","PLEKHF2"
"FGL22",4.51029536865475e-06,0.944152648193142,0.419,0.123,0.0618541906857313,"7","FGL2"
"C17orf62",4.66428995175875e-06,0.467608770372137,0.516,0.151,0.0639660723984195,"7","C17orf62"
"TMEM2191",4.66699316393846e-06,0.492083837789306,0.774,0.27,0.0640031442502521,"7","TMEM219"
"NCKAP1L1",4.83724866225538e-06,0.816498687802949,0.387,0.104,0.0663380281541703,"7","NCKAP1L"
"IFNAR1",4.93891109333148e-06,1.12901933660471,0.29,0.066,0.0677322267339479,"7","IFNAR1"
"FKBP5",5.03290833094396e-06,0.673968073298748,0.323,0.078,0.0690213048505654,"7","FKBP5"
"HMGA1",5.09338581869051e-06,1.12880871613989,0.419,0.119,0.0698506931175217,"7","HMGA1"
"DCXR",5.11848944816611e-06,0.883016763307133,0.548,0.173,0.07019496429215,"7","DCXR"
"ATP6AP1",5.19179564048054e-06,1.36026551152791,0.323,0.081,0.0712002854135502,"7","ATP6AP1"
"PRELID12",5.25419613093987e-06,0.880794933362822,0.903,0.465,0.0720560457397094,"7","PRELID1"
"HDAC3",5.41778458042866e-06,1.2207959130819,0.323,0.079,0.0742994977359987,"7","HDAC3"
"C19orf102",5.4445322841595e-06,0.944301333459542,0.613,0.214,0.0746663157449633,"7","C19orf10"
"PAIP1",5.47491778621797e-06,1.16248101178809,0.29,0.066,0.0750830225201932,"7","PAIP1"
"SYNGR21",5.51260270079354e-06,0.967310090084421,0.452,0.132,0.0755998334386826,"7","SYNGR2"
"MPEG12",5.73689272999197e-06,0.931897588109186,0.387,0.105,0.0786757468991098,"7","MPEG1"
"TMEM109",5.86005197879302e-06,1.12109155774977,0.419,0.121,0.0803647528371674,"7","TMEM109"
"SNRNP27",5.88647657963868e-06,1.19192507321606,0.258,0.056,0.0807271398131649,"7","SNRNP27"
"ATF3",5.92575252257368e-06,1.57323243744514,0.258,0.057,0.0812657700945754,"7","ATF3"
"FAM173A",5.97699448098291e-06,0.583179628192053,0.387,0.101,0.0819685023121997,"7","FAM173A"
"DR1",5.98254788122045e-06,0.911604639708785,0.419,0.115,0.0820446616430572,"7","DR1"
"AURKAIP11",6.42546273763776e-06,0.929638342684157,0.742,0.283,0.0881187959839642,"7","AURKAIP1"
